o,o,o
ma,ma,ma
ho,ho,ho
ho mahi,ho mahi,ho mahi
i,i,i
i na,i na,i na
part,part,part
vsf,vsf,vsf
npf,npf,npf
ha,ha,ha
nanga,nanga,nanga
PRO,PRO,PRO
ho hi,ho hi,ho hi
ho mag,ho mag,ho mag
,,
ho ma,ho ma,ho ma
adv,adv,adv
DEM,DEM,DEM
loc,loc,loc
dir,dir,dir
Q,Q,Q
ADV,ADV,ADV
ho ma g,ho ma g,ho ma g
manga,manga,manga
ya,ya,ya
NUM,NUM,NUM
vpf,vpf,vpf
EXC,EXC,EXC
plant,plant,plant
DIR,DIR,DIR
INTEROG,INTEROG,INTEROG
NCL,NCL,NCL
RFLX,RFLX,RFLX
num,num,num
ho ma hi,ho ma hi,ho ma hi
i ma,i ma,i ma
ho maka,ho maka,ho maka
ho ma k,ho ma k,ho ma k
COUNT,COUNT,COUNT
