,,
nautical,nautical,nautical
plant,plant,plant
insect,insect,insect
body part,body part,body part
earth,earth,earth
color,color,color
time,time,time
kin,kin,kin
hunting,hunting,hunting
food,food,food
animal,animal,animal
fish,fish,fish
fishing,fishing,fishing
dir,dir,dir
tool,tool,tool
household,household,household
birds,birds,birds
sky,sky,sky
magic,magic,magic
Eulipoa wallacei,Eulipoa wallacei,Eulipoa wallacei
num,num,num
nauticalical,nauticalical,nauticalical
weaving,weaving,weaving
clothing,clothing,clothing
house,house,house
bird,bird,bird
people,people,people
NUM,NUM,NUM
med,med,med
